original_batch,method,density,detection_ratio,Distance,Number_of_obs,73,70,52,59,16,17,18,19,20,21,target1,target2,target3
b9_s13_41,41,1.11111111111,0.4,9,10,X,X,V,V,V,X,X,X,X,V,X,O,O
b9_s10_41,41,1.11111111111,0.6,9,10,V,X,X,X,V,V,V,X,V,V,X,O,O
b9_s1_41,41,1.11111111111,0.6,9,10,X,V,V,X,V,X,V,X,V,V,V,O,O
b9_s8_41,41,1.11111111111,0.8,9,10,X,V,V,V,V,V,V,X,V,V,V,O,O
b9_s5_41,41,1.11111111111,0.2,9,10,X,X,V,X,X,X,X,X,X,V,X,O,O
b9_s6_41,41,1.11111111111,0.5,9,10,V,X,X,X,V,V,V,X,V,X,V,O,O
b9_s12_41,41,1.11111111111,0.5,9,10,X,X,V,X,X,V,V,X,V,V,X,O,O
b9_s11_41,41,1.11111111111,0.6,9,10,X,X,V,V,V,X,V,X,V,V,X,O,O
b9_s7_41,41,1.11111111111,0.6,9,10,X,V,V,V,V,X,X,V,V,X,X,O,O
b9_s2_41,41,1.11111111111,0.9,9,10,V,V,V,X,V,V,V,V,V,V,X,O,O
b9_s0_41,41,1.11111111111,0.5,9,10,X,X,V,V,V,X,V,X,V,X,V,O,O
b9_s9_41,41,1.11111111111,0.8,9,10,V,V,V,X,V,V,V,X,V,V,V,O,O
b9_s15_41,41,1.11111111111,0.8,9,10,V,V,V,X,V,X,V,V,V,V,V,O,O
b9_s3_41,41,1.11111111111,0.7,9,10,V,V,X,X,V,X,V,V,V,V,V,O,O
b9_s4_41,41,1.11111111111,0.4,9,10,X,X,V,X,V,X,X,X,V,V,V,O,O
b9_s5_11,11,1.11111111111,0.4,9,10,X,X,X,X,V,X,V,V,V,X,V,O,O
b9_s2_11,11,1.11111111111,0.4,9,10,X,X,V,V,X,X,X,V,V,X,X,O,O
b9_s0_11,11,1.11111111111,0.5,9,10,X,X,V,V,V,X,V,X,V,X,X,O,O
b9_s8_11,11,1.11111111111,0.9,9,10,V,V,V,V,V,X,V,V,V,V,V,O,O
b9_s7_11,11,1.11111111111,0.9,9,10,V,V,V,V,V,V,V,X,V,V,X,O,O
b9_s6_11,11,1.11111111111,0.4,9,10,X,V,V,X,V,X,X,X,V,X,X,O,O
b9_s12_11,11,1.11111111111,0.7,9,10,X,V,V,V,V,X,X,V,V,V,X,O,O
b9_s15_11,11,1.11111111111,0.6,9,10,V,X,V,V,V,V,X,X,V,X,V,O,O
b9_s13_11,11,1.11111111111,0.7,9,10,V,X,V,V,V,X,V,X,V,V,V,O,O
b9_s11_11,11,1.11111111111,0.6,9,10,V,X,V,X,V,X,V,X,V,V,X,O,O
b9_s10_11,11,1.11111111111,0.7,9,10,V,V,V,V,V,X,X,X,V,V,X,O,O
b9_s9_11,11,1.11111111111,0.6,9,10,X,X,V,X,V,X,V,V,V,V,X,O,O
b9_s4_11,11,1.11111111111,0.6,9,10,X,X,V,V,X,V,V,X,V,V,X,O,O
b9_s3_11,11,1.11111111111,0.4,9,10,X,X,V,V,V,X,X,X,V,X,X,O,O
b9_s1_11,11,1.11111111111,0.7,9,10,X,V,V,V,V,V,V,X,X,V,V,O,O
b9_s14_11,11,1.11111111111,0.6,9,10,X,X,V,X,V,V,V,V,V,X,X,O,O
b9_s7_44,44,1.11111111111,0.4,9,10,X,X,X,V,X,V,V,X,V,X,V,O,O
b9_s4_44,44,1.11111111111,0.5,9,10,X,X,V,X,V,X,X,V,V,V,V,O,O
b9_s11_44,44,1.11111111111,0.8,9,10,V,X,V,V,V,X,V,V,V,V,X,O,O
b9_s12_44,44,1.11111111111,0.6,9,10,V,X,V,V,V,X,X,V,V,X,X,O,O
b9_s10_44,44,1.11111111111,0.3,9,10,X,X,V,X,X,X,X,V,X,V,X,O,O
b9_s1_44,44,1.11111111111,0.8,9,10,V,V,V,X,V,V,V,V,V,X,V,O,O
b9_s14_44,44,1.11111111111,0.3,9,10,X,X,V,V,V,X,X,X,X,X,X,O,O
b9_s8_44,44,1.11111111111,0.6,9,10,V,X,V,X,V,X,X,V,V,V,X,O,O
b9_s3_44,44,1.11111111111,0.7,9,10,V,V,X,V,V,V,V,X,X,V,V,O,O
b9_s13_44,44,1.11111111111,0.5,9,10,V,X,V,V,X,X,V,X,V,X,X,O,O
b9_s15_44,44,1.11111111111,0.5,9,10,X,X,V,X,V,X,X,V,V,V,V,O,O
b9_s9_44,44,1.11111111111,0.2,9,10,X,V,V,X,X,X,X,X,X,X,V,O,O
b9_s2_44,44,1.11111111111,0.6,9,10,X,V,V,V,X,V,X,V,V,X,V,O,O
b9_s0_44,44,1.11111111111,0.5,9,10,V,V,X,X,X,V,V,X,V,X,V,O,O
b9_s5_44,44,1.11111111111,0.5,9,10,X,V,V,X,X,V,V,V,X,X,V,O,O
b9_s6_44,44,1.11111111111,0.5,9,10,X,V,V,X,V,X,X,V,X,V,V,O,O
b9_s7_14,14,1.11111111111,0.7,9,10,V,V,V,V,V,V,X,V,X,X,X,O,O
b9_s0_14,14,1.11111111111,0.8,9,10,V,X,V,V,V,X,V,V,V,V,X,O,O
b9_s2_14,14,1.11111111111,0.6,9,10,X,X,V,V,X,V,V,V,V,X,V,O,O
b9_s10_14,14,1.11111111111,0.4,9,10,X,X,V,X,V,X,V,X,V,X,V,O,O
b9_s14_14,14,1.11111111111,0.6,9,10,X,V,V,V,V,X,X,V,V,X,X,O,O
b9_s8_14,14,1.11111111111,0.6,9,10,X,X,V,V,V,X,V,V,V,X,X,O,O
b9_s1_14,14,1.11111111111,0.7,9,10,V,X,V,X,V,V,V,V,V,X,V,O,O
b9_s15_14,14,1.11111111111,0.4,9,10,X,V,V,V,X,X,X,X,V,X,V,O,O
b9_s5_14,14,1.11111111111,0.8,9,10,V,V,V,X,V,X,V,V,V,V,X,O,O
b9_s11_14,14,1.11111111111,0.6,9,10,X,V,X,X,V,V,X,V,V,V,V,O,O
b9_s4_14,14,1.11111111111,0.6,9,10,V,X,V,X,X,V,V,X,V,V,X,O,O
