obs ratio,method
0.4,11
0.4,11
0.5,11
0.9,11
0.9,11
0.4,11
0.7,11
0.6,11
0.7,11
0.6,11
0.7,11
0.6,11
0.6,11
0.4,11
0.7,11
0.6,11
0.8,11
0.7,11
0,11
0.6,11
0.6,11
0.8,11
0.3,11
0.8,11
0.9,11
0.9,11
0.5,11
0.7,11
0.8,11
0.2,11
0.5,11
0.8,11
0.6,11
0.4,11
0.7,11
0.7,11
0.7,11
0.7,11
0.4,11
0.4,11
0.6,11
0.8,11
0.6,11
0.7,11
0.5,11
0.6,11
0.8,11
0.4,11
0.8,11
0.5,11
0.8,11
0.9,11
0.2,11
0.5,11
0.7,11
0.7,11
0.4,11
0.4,11
0.5,11
0.6,11
0.6,11
0.7,14
0.8,14
0.6,14
0.4,14
0.6,14
0.6,14
0.7,14
0.4,14
0.8,14
0.6,14
0.6,14
0.4,14
0.9,14
0.6,14
0.8,14
0.8,14
0.8,14
0.8,14
0.7,14
0.8,14
0.7,14
0.7,14
0.4,14
0.9,14
0.7,14
0.5,14
0.1,14
0.5,14
0.7,14
0.8,14
1,14
0.5,14
0.6,14
0.8,14
0.6,14
0.5,14
0.6,14
0.7,14
0.4,14
0.6,14
0.6,14
0.4,14
0.4,14
0.6,14
0.7,14
0.7,14
0.7,14
0.8,14
0.6,14
0.6,14
0.7,14
0.4,14
0.8,14
0.6,14
0.5,14
0.4,41
0.6,41
0.6,41
0.8,41
0.2,41
0.5,41
0.5,41
0.6,41
0.6,41
0.9,41
0.5,41
0.8,41
0.8,41
0.7,41
0.4,41
0.3,41
0.4,41
0.3,41
0.6,41
0.4,41
0.3,41
0.5,41
0.5,41
0.6,41
0.4,41
0.2,41
0.3,41
0.6,41
0.6,41
0.6,41
0.6,41
0.6,41
0.4,41
0.2,41
0.4,41
0.3,41
0.9,41
0.5,41
0.8,41
0.5,41
0.6,41
0.4,41
0.4,41
0.4,44
0.5,44
0.8,44
0.6,44
0.3,44
0.8,44
0.3,44
0.6,44
0.7,44
0.5,44
0.5,44
0.2,44
0.6,44
0.5,44
0.5,44
0.5,44
0.7,44
0.5,44
0.5,44
0.6,44
0.3,44
0.3,44
0.6,44
0.8,44
0.6,44
0.3,44
0.6,44
0.8,44
0.4,44
0.8,44
0.9,44
0.5,44
0.7,44
0.6,44
0.4,44
0.5,44
0.6,44
0.8,44
0.6,44
0.6,44
0.6,44
0.4,44
0.4,44
0.5,44
0.6,44
0.7,44
0.6,44
0.6,44
0.6,44
0.7,44
0.4,44
0.6,44
0.5,44
0.6,44
0.4,44
0.6,44
0.6,44
0.7,44
0.6,44
0.4,44
0.6,44
0.2,44
0.5,44
0.2,44
0.6,44
0.4,44
0.4,44
0.4,44
0.6,44
0.7,44
0.4,44
0.4,44
0.6,44
0.5,44
0.5,44
0.6,44
0.6,44
0.8,44
0.6,44
0.5,44
0.9,44
0.6,44
0.7,44
0.5,44
0.5,44
0.6,44
0.6,44
0.6,44
0.5,44
0.6,44
0.6,44
0.6,44
0.8,44
