secs, nsecs, belief, value
56,278000000,,ThereAreTargetsTrue
56,278000000,,NumberOfTargets3
56,278000000,,ObstacleFoundFalse
56,278000000,,CurrentTarget0
56,279000000,,NumberOfObstacles0
56,279000000,,DefusedObstacle0
56,279000000,,CameraDownTrue
56,279000000,,UsingCameraFalse
56,279000000,,AllReadyTrue
59,614000000,,ReachedToTargetFalse
59,614000000,,ReachedUpdatedFalse
59,615000000,,CurrentTarget1
59,615000000,,TargetChosenTrue
62,675000000,,TargetChosenFalse
62,675000000,,SearchingTargetTrue
62,694000000,,Target_FoundTrue
62,694000000,,SearchingTargetFalse
65,711000000,,Target_FoundFalse
75,119000000,,DrivingTrue
75,203000000,,ObstacleOnTheWayFalse
75,618000000,,ObstacleOnTheWayFalse
75,940000000,,ObstacleOnTheWayFalse
76,120000000,,KnowsTargetLocationMissing
76,137000000,,KnowsTargetLocationUpdating
76,411000000,,ObstacleOnTheWayFalse
76,804000000,,ObstacleOnTheWayFalse
77,107000000,,ObstacleOnTheWayFalse
77,148000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,STARTS
77,613000000,,ObstacleOnTheWayFalse
77,931000000,,CameraDownFalse
77,929000000,,ObstacleOnTheWayFalse
78,158000000,,KnowsTargetLocationMissing
78,185000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,BLOCKED
78,431000000,,CameraUpTrue
78,549000000,,KnowsTargetLocationFalse
78,850000000,,KnowsTargetLocationFalse
79,195000000,,ObstacleOnTheWayMissing
79,232000000,,KnowsTargetLocationFalse
79,576000000,,KnowsTargetLocationFalse
79,932000000,,KnowsTargetLocationFalse
80,231000000,,ObstacleOnTheWayMissing
80,224000000,,KnowsTargetLocationFalse
80,247000000,,ObstacleOnTheWayUpdating
80,548000000,,KnowsTargetLocationFalse
80,821000000,,KnowsTargetLocationFalse
81,123000000,,KnowsTargetLocationFalse
81,259000000,,AP_STATUSAP_mb_list,|ObstacleOnTheWay,Chosen_mb_toSolve,ObstacleOnTheWay,Status,STARTS
81,476000000,,KnowsTargetLocationFalse
81,886000000,,KnowsTargetLocationFalse
82,114000000,,CameraUpFalse
82,267000000,,ObstacleOnTheWayMissing
82,308000000,,AP_STATUSAP_mb_list,|ObstacleOnTheWay,Chosen_mb_toSolve,ObstacleOnTheWay,Status,BLOCKED
82,614000000,,CameraDownTrue
82,836000000,,ObstacleOnTheWayFalse
83,148000000,,ObstacleOnTheWayFalse
83,332000000,,KnowsTargetLocationMissing
83,559000000,,ObstacleOnTheWayFalse
83,927000000,,ObstacleOnTheWayFalse
84,310000000,,ObstacleOnTheWayFalse
84,638000000,,ObstacleOnTheWayFalse
84,747000000,,KnowsTargetLocationMissing
84,762000000,,KnowsTargetLocationUpdating
85,55000000,,ObstacleOnTheWayFalse
85,380000000,,ObstacleOnTheWayFalse
85,693000000,,ObstacleOnTheWayFalse
85,768000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,STARTS
86,63000000,,ObstacleOnTheWayFalse
86,308000000,,ObstacleOnTheWayFalse
86,404000000,,ObstacleOnTheWayTrue
