secs, nsecs, belief, value
56,481000000,,ThereAreTargetsTrue
56,481000000,,NumberOfTargets3
56,481000000,,ObstacleFoundFalse
56,482000000,,CurrentTarget0
56,482000000,,NumberOfObstacles0
56,482000000,,DefusedObstacle0
56,482000000,,CameraDownTrue
56,483000000,,UsingCameraFalse
56,483000000,,AllReadyTrue
59,625000000,,ReachedToTargetFalse
59,625000000,,ReachedUpdatedFalse
59,627000000,,CurrentTarget1
59,627000000,,TargetChosenTrue
62,680000000,,TargetChosenFalse
62,681000000,,SearchingTargetTrue
62,685000000,,Target_FoundTrue
62,685000000,,SearchingTargetFalse
65,733000000,,Target_FoundFalse
76,55000000,,DrivingTrue
76,123000000,,ObstacleOnTheWayFalse
76,155000000,,KnowsTargetLocationMissing
76,170000000,,KnowsTargetLocationUpdating
76,499000000,,ObstacleOnTheWayFalse
76,772000000,,ObstacleOnTheWayFalse
77,60000000,,ObstacleOnTheWayFalse
77,180000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,STARTS
77,407000000,,ObstacleOnTheWayFalse
77,817000000,,ObstacleOnTheWayFalse
77,988000000,,CameraDownFalse
78,488000000,,CameraUpTrue
78,696000000,,KnowsTargetLocationFalse
78,969000000,,KnowsTargetLocationFalse
79,220000000,,ObstacleOnTheWayMissing
79,289000000,,KnowsTargetLocationFalse
79,606000000,,KnowsTargetLocationFalse
79,987000000,,KnowsTargetLocationFalse
80,254000000,,ObstacleOnTheWayMissing
80,274000000,,ObstacleOnTheWayUpdating
80,356000000,,KnowsTargetLocationFalse
80,684000000,,KnowsTargetLocationFalse
80,971000000,,KnowsTargetLocationFalse
81,283000000,,AP_STATUSAP_mb_list,|ObstacleOnTheWay,Chosen_mb_toSolve,ObstacleOnTheWay,Status,STARTS
81,397000000,,KnowsTargetLocationFalse
81,714000000,,KnowsTargetLocationFalse
82,0,,KnowsTargetLocationFalse
82,81000000,,CameraUpFalse
82,292000000,,ObstacleOnTheWayMissing
82,309000000,,AP_STATUSAP_mb_list,|ObstacleOnTheWay,Chosen_mb_toSolve,ObstacleOnTheWay,Status,BLOCKED
82,581000000,,CameraDownTrue
82,688000000,,ObstacleOnTheWayFalse
83,0,,ObstacleOnTheWayFalse
83,326000000,,ObstacleOnTheWayFalse
83,784000000,,ObstacleOnTheWayFalse
84,159000000,,ObstacleOnTheWayFalse
84,518000000,,ObstacleOnTheWayFalse
84,818000000,,ObstacleOnTheWayFalse
85,217000000,,ObstacleOnTheWayFalse
85,547000000,,ObstacleOnTheWayFalse
85,838000000,,ObstacleOnTheWayFalse
85,931000000,,ObstacleOnTheWayTrue
85,931000000,,Obstacle_520.868285670273,0.0970816726372,-0.0359869606879,0.87443691465
86,188000000,,Obstacle_520.868285670273,0.0970816726372,-0.0359869606879,0.87443691465
86,368000000,,ObstacleOnTheWayTrue
86,433000000,,KnowsTargetLocationMissing
86,442000000,,KnowsTargetLocationUpdating
86,451000000,,Obstacle_520.868285670273,0.0970816726372,-0.0359869606879,0.87443691465
86,646000000,,ObstacleOnTheWayTrue
86,799000000,,ObstacleOnTheWayFalse
87,62000000,,ObstacleOnTheWayFalse
87,327000000,,ObstacleOnTheWayTrue
87,336000000,,Obstacle_520.691020133235,0.0983342703647,-0.0387783105829,0.69905808817
87,567000000,,Obstacle_520.691020133235,0.0983342703647,-0.0387783105829,0.69905808817
87,729000000,,ObstacleOnTheWayTrue
87,851000000,,Obstacle_520.655699915401,0.0970825970765,-0.0387881892437,0.663981877265
88,82000000,,ObstacleOnTheWayTrue
88,88000000,,Obstacle_520.655699915401,0.0970825970765,-0.0387881892437,0.663981877265
88,172000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,STARTS
88,331000000,,Obstacle_520.655699915401,0.0970825970765,-0.0387881892437,0.663981877265
88,499000000,,ObstacleOnTheWayTrue
88,601000000,,Obstacle_520.655699915401,0.0970825970765,-0.0387881892437,0.663981877265
88,878000000,,ObstacleOnTheWayFalse
89,914000000,,CameraUpTrue
90,13000000,,KnowsTargetLocationFalse
90,335000000,,KnowsTargetLocationFalse
90,442000000,,ObstacleOnTheWayMissing
90,608000000,,KnowsTargetLocationFalse
90,945000000,,KnowsTargetLocationFalse
91,197000000,,KnowsTargetLocationFalse
91,482000000,,ObstacleOnTheWayMissing
91,503000000,,ObstacleOnTheWayUpdating
91,564000000,,KnowsTargetLocationFalse
91,688000000,,KnowsTargetLocationTrue
92,36000000,,KnowsTargetLocationTrue
92,287000000,,KnowsTargetLocationTrue
92,506000000,,AP_STATUSAP_mb_list,|ObstacleOnTheWay,Chosen_mb_toSolve,ObstacleOnTheWay,Status,STARTS
92,666000000,,KnowsTargetLocationTrue
92,881000000,,KnowsTargetLocationFalse
93,284000000,,CameraUpFalse
93,311000000,,KnowsTargetLocationFalse
93,511000000,,ObstacleOnTheWayMissing
93,529000000,,AP_STATUSAP_mb_list,|ObstacleOnTheWay,Chosen_mb_toSolve,ObstacleOnTheWay,Status,BLOCKED
93,784000000,,CameraDownTrue
94,3000000,,ObstacleOnTheWayFalse
94,306000000,,ObstacleOnTheWayFalse
94,628000000,,ObstacleOnTheWayFalse
95,14000000,,ObstacleOnTheWayFalse
95,303000000,,ObstacleOnTheWayFalse
95,660000000,,ObstacleOnTheWayFalse
95,769000000,,ObstacleOnTheWayTrue
95,784000000,,Obstacle_701.39506203752,0.0936005528568,-0.0357795783169,1.39865625879
95,924000000,,Obstacle_161.41732415127,0.0930663908158,-0.0380043679501,1.42088473665
96,96000000,,ObstacleOnTheWayTrue
96,192000000,,Obstacle_701.39506203752,0.0936005528568,-0.0357795783169,1.39865625879
96,283000000,,Obstacle_161.41732415127,0.0930663908158,-0.0380043679501,1.42088473665
96,422000000,,ObstacleOnTheWayTrue
96,594000000,,Obstacle_701.30593863725,0.0923673208837,-0.0351149231269,1.30967190703
96,774000000,,ObstacleOnTheWayTrue
96,878000000,,Obstacle_701.26477219504,0.0929608364244,-0.0375178898732,1.26873874951
97,132000000,,ObstacleOnTheWayTrue
97,132000000,,Obstacle_701.26477219504,0.0929608364244,-0.0375178898732,1.26873874951
97,405000000,,ObstacleOnTheWayTrue
97,405000000,,Obstacle_701.19735353666,0.0926196659556,-0.037519764926,1.2015163865
