secs, nsecs, belief, value,,,,,
56,592000000,,ThereAreTargetsTrue,,,,,
56,592000000,,NumberOfTargets3,,,,,
56,592000000,,ObstacleFoundFalse,,,,,
56,592000000,,CurrentTarget0,,,,,
56,592000000,,NumberOfObstacles0,,,,,
56,592000000,,DefusedObstacle0,,,,,
56,592000000,,CameraDownTrue,,,,,
56,592000000,,UsingCameraFalse,,,,,
56,592000000,,AllReadyTrue,,,,,
59,598000000,,ReachedToTargetFalse,,,,,
59,598000000,,ReachedUpdatedFalse,,,,,
59,598000000,,CurrentTarget1,,,,,
59,598000000,,TargetChosenTrue,,,,,
62,687000000,,TargetChosenFalse,,,,,
62,687000000,,SearchingTargetTrue,,,,,
62,723000000,,Target_FoundTrue,,,,,
62,723000000,,SearchingTargetFalse,,,,,
65,681000000,,Target_FoundFalse,,,,,
75,522000000,,DrivingTrue,,,,,
75,662000000,,ObstacleOnTheWayFalse,,,,,
75,915000000,,ObstacleOnTheWayFalse,,,,,
76,66000000,,KnowsTargetLocationMissing,,,,,
76,83000000,,KnowsTargetLocationUpdating,,,,,
76,379000000,,ObstacleOnTheWayFalse,,,,,
76,738000000,,ObstacleOnTheWayFalse,,,,,
77,59000000,,ObstacleOnTheWayFalse,,,,,
77,87000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,STARTS
77,482000000,,ObstacleOnTheWayFalse,,,,,
77,882000000,,ObstacleOnTheWayFalse,,,,,
77,946000000,,CameraDownFalse,,,,,
78,112000000,,KnowsTargetLocationMissing,,,,,
78,129000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,BLOCKED
78,446000000,,CameraUpTrue,,,,,
78,588000000,,KnowsTargetLocationFalse,,,,,
78,916000000,,KnowsTargetLocationFalse,,,,,
79,368000000,,KnowsTargetLocationFalse,,,,,
79,741000000,,KnowsTargetLocationFalse,,,,,
80,96000000,,KnowsTargetLocationFalse,,,,,
80,397000000,,KnowsTargetLocationFalse,,,,,
80,714000000,,KnowsTargetLocationFalse,,,,,
81,46000000,,KnowsTargetLocationFalse,,,,,
81,435000000,,KnowsTargetLocationFalse,,,,,
81,784000000,,KnowsTargetLocationFalse,,,,,
82,165000000,,KnowsTargetLocationFalse,,,,,
82,233000000,,ObstacleOnTheWayMissing,,,,,
82,253000000,,ObstacleOnTheWayUpdating,,,,,
82,519000000,,KnowsTargetLocationFalse,,,,,
82,832000000,,KnowsTargetLocationFalse,,,,,
83,117000000,,KnowsTargetLocationFalse,,,,,
83,258000000,,AP_STATUSAP_mb_list,|ObstacleOnTheWay,Chosen_mb_toSolve,ObstacleOnTheWay,Status,STARTS
83,452000000,,KnowsTargetLocationFalse,,,,,
83,817000000,,KnowsTargetLocationFalse,,,,,
84,80000000,,CameraUpFalse,,,,,
84,580000000,,CameraDownTrue,,,,,
84,742000000,,ObstacleOnTheWayFalse,,,,,
85,49000000,,ObstacleOnTheWayFalse,,,,,
85,317000000,,KnowsTargetLocationMissing,,,,,
85,417000000,,ObstacleOnTheWayFalse,,,,,
85,756000000,,ObstacleOnTheWayFalse,,,,,
86,17000000,,ObstacleOnTheWayFalse,,,,,
86,356000000,,KnowsTargetLocationMissing,,,,,
86,363000000,,KnowsTargetLocationUpdating,,,,,
86,361000000,,ObstacleOnTheWayFalse,,,,,
86,584000000,,ObstacleOnTheWayTrue,,,,,
86,602000000,,Obstacle_520.69084165242,0.0990456975,-0.038817894,0.6989843116,,
86,776000000,,Obstacle_520.69084165242,0.0990456975,-0.038817894,0.6989843116,,
86,940000000,,ObstacleOnTheWayTrue,,,,,
