secs, nsecs, belief, value
56,590000000,,ThereAreTargetsTrue
56,590000000,,NumberOfTargets3
56,590000000,,ObstacleFoundFalse
56,590000000,,CurrentTarget0
56,590000000,,NumberOfObstacles0
56,590000000,,DefusedObstacle0
56,590000000,,CameraDownTrue
56,590000000,,UsingCameraFalse
56,590000000,,AllReadyTrue
59,678000000,,ReachedToTargetFalse
59,678000000,,ReachedUpdatedFalse
59,679000000,,CurrentTarget1
59,680000000,,TargetChosenTrue
62,712000000,,TargetChosenFalse
62,713000000,,SearchingTargetTrue
62,749000000,,Target_FoundTrue
62,749000000,,SearchingTargetFalse
65,718000000,,Target_FoundFalse
75,413000000,,DrivingTrue
75,527000000,,ObstacleOnTheWayFalse
75,839000000,,ObstacleOnTheWayFalse
76,119000000,,KnowsTargetLocationMissing
76,133000000,,KnowsTargetLocationUpdating
76,174000000,,ObstacleOnTheWayFalse
76,419000000,,ObstacleOnTheWayFalse
76,715000000,,ObstacleOnTheWayFalse
77,113000000,,ObstacleOnTheWayFalse
77,142000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,STARTS
77,467000000,,ObstacleOnTheWayFalse
77,781000000,,ObstacleOnTheWayFalse
77,960000000,,CameraDownFalse
78,464000000,,CameraUpTrue
78,666000000,,KnowsTargetLocationFalse
79,2000000,,KnowsTargetLocationFalse
79,357000000,,KnowsTargetLocationFalse
79,692000000,,KnowsTargetLocationFalse
80,53000000,,KnowsTargetLocationFalse
80,357000000,,KnowsTargetLocationFalse
80,627000000,,KnowsTargetLocationFalse
80,914000000,,KnowsTargetLocationFalse
81,223000000,,KnowsTargetLocationFalse
81,506000000,,KnowsTargetLocationFalse
81,824000000,,KnowsTargetLocationFalse
82,147000000,,KnowsTargetLocationFalse
82,263000000,,ObstacleOnTheWayMissing
82,278000000,,ObstacleOnTheWayUpdating
82,505000000,,KnowsTargetLocationFalse
82,916000000,,KnowsTargetLocationFalse
83,226000000,,KnowsTargetLocationFalse
83,294000000,,AP_STATUSAP_mb_list,|ObstacleOnTheWay,Chosen_mb_toSolve,ObstacleOnTheWay,Status,STARTS
83,584000000,,KnowsTargetLocationFalse
83,962000000,,KnowsTargetLocationFalse
84,663000000,,CameraUpFalse
85,163000000,,CameraDownTrue
85,337000000,,ObstacleOnTheWayFalse
85,664000000,,ObstacleOnTheWayFalse
85,796000000,,ObstacleOnTheWayTrue
85,811000000,,Obstacle_520.798081611263,0.098551155973,-0.0375949501499,0.805021719494
86,83000000,,ObstacleOnTheWayTrue
86,95000000,,Obstacle_520.798081611263,0.098551155973,-0.0375949501499,0.805021719494
86,389000000,,ObstacleOnTheWayTrue
86,404000000,,Obstacle_520.710590771327,0.0990402528601,-0.0374915561907,0.805021719494
86,632000000,,Obstacle_520.710590771327,0.0990402528601,-0.0374915561907,0.718438468324
86,770000000,,ObstacleOnTheWayTrue
86,917000000,,Obstacle_520.670424537545,0.0971747059506,-0.0387977837284,0.718438468324
87,95000000,,ObstacleOnTheWayTrue
87,227000000,,Obstacle_520.670424537545,0.0971747059506,-0.0387977837284,0.678540530876
87,433000000,,ObstacleOnTheWayTrue
87,433000000,,Obstacle_520.670424537545,0.0971747059506,-0.0387977837284,0.678540530876
87,713000000,,ObstacleOnTheWayTrue
87,714000000,,Obstacle_520.670424537545,0.0971747059506,-0.0387977837284,0.678540530876
88,5000000,,ObstacleOnTheWayFalse
88,333000000,,ObstacleOnTheWayFalse
88,527000000,,KnowsTargetLocationMissing
88,537000000,,KnowsTargetLocationUpdating
88,674000000,,ObstacleOnTheWayFalse
88,928000000,,ObstacleOnTheWayFalse
89,367000000,,ObstacleOnTheWayFalse
89,546000000,,AP_STATUSAP_mb_list,|KnowsTargetLocation,Chosen_mb_toSolve,KnowsTargetLocation,Status,STARTS
89,728000000,,ObstacleOnTheWayFalse
90,136000000,,ObstacleOnTheWayFalse
90,393000000,,CameraDownFalse
90,895000000,,CameraUpTrue
91,15000000,,KnowsTargetLocationFalse
91,365000000,,KnowsTargetLocationFalse
91,659000000,,KnowsTargetLocationFalse
92,19000000,,KnowsTargetLocationFalse
92,403000000,,KnowsTargetLocationFalse
92,715000000,,KnowsTargetLocationFalse
92,940000000,,KnowsTargetLocationTrue
93,209000000,,KnowsTargetLocationTrue
93,498000000,,KnowsTargetLocationTrue
93,791000000,,KnowsTargetLocationFalse
94,183000000,,KnowsTargetLocationFalse
94,597000000,,KnowsTargetLocationFalse
94,679000000,,ObstacleOnTheWayMissing
94,703000000,,ObstacleOnTheWayUpdating
94,953000000,,KnowsTargetLocationFalse
95,269000000,,KnowsTargetLocationFalse
95,433000000,,KnowsTargetLocationTrue
95,709000000,,AP_STATUSAP_mb_list,|ObstacleOnTheWay,Chosen_mb_toSolve,ObstacleOnTheWay,Status,STARTS
95,746000000,,KnowsTargetLocationTrue
96,54000000,,KnowsTargetLocationTrue
96,404000000,,KnowsTargetLocationTrue
96,443000000,,CameraUpFalse
96,943000000,,CameraDownTrue
97,134000000,,ObstacleOnTheWayFalse
97,587000000,,ObstacleOnTheWayFalse
97,864000000,,ObstacleOnTheWayFalse
98,164000000,,ObstacleOnTheWayFalse
