 time, 0-real 1-robot,object type,agent to obs x(robot),agent to obs y(robot),agent to obs z(robot), distance(robot),distance(real), sus obs x(robot), sus obs y(robot),sus obs z(robot), obs x(real), obs y(real), obs z(real), robot x(real), robot y(real), robot z(real)
79.309000, 0, Obstacle 52 ,,,,,1.5,,,,1.95,0.0,0.0,0.45,0.0,0.04 
87.148000, 1, myObstacle 52,0.68,0.11,-0.04,0.69,0.48,2.08,0.1,0.0,1.95,0.0,0.0,1.47,-0.0,0.04 
87.298000, 1, myObstacle 52,0.68,0.11,-0.04,0.69,0.46,2.09,0.1,0.0,1.95,0.0,0.0,1.49,-0.0,0.04 
87.492000, 1, myObstacle 52,0.68,0.11,-0.04,0.69,0.44,2.09,0.1,0.0,1.95,0.0,0.0,1.51,-0.0,0.04 
87.780000, 1, myObstacle 52,0.68,0.11,-0.04,0.69,0.4,2.09,0.1,0.0,1.95,0.0,0.0,1.55,-0.0,0.04 
88.241000, 0, Obstacle 18 ,,,,,1.5,,,,3.11,0.0,0.0,1.61,-0.0,0.04 
93.324000, 0, Obstacle 70 ,,,,,1.5,,,,3.77,0.0,0.0,2.27,-0.0,0.04 
94.094000, 1, myObstacle 18,0.92,0.11,-0.04,0.93,0.74,3.22,0.1,0.0,3.11,0.0,0.0,2.37,-0.0,0.04 
94.408000, 1, myObstacle 18,0.92,0.11,-0.04,0.93,0.7,3.22,0.1,0.0,3.11,0.0,0.0,2.41,-0.0,0.04 
94.640000, 1, myObstacle 18,0.92,0.11,-0.04,0.93,0.67,3.22,0.1,0.0,3.11,0.0,0.0,2.44,-0.0,0.04 
94.877000, 1, myObstacle 18,0.83,0.11,-0.04,0.84,0.64,3.22,0.1,0.0,3.11,0.0,0.0,2.47,-0.0,0.04 
95.139000, 1, myObstacle 18,0.83,0.11,-0.04,0.84,0.6,3.22,0.1,0.0,3.11,0.0,0.0,2.51,-0.0,0.04 
95.333000, 1, myObstacle 18,0.76,0.11,-0.04,0.76,0.58,3.22,0.1,0.0,3.11,0.0,0.0,2.53,-0.0,0.04 
95.533000, 1, myObstacle 18,0.76,0.11,-0.04,0.76,0.55,3.22,0.1,0.0,3.11,0.0,0.0,2.56,-0.0,0.04 
95.793000, 1, myObstacle 18,0.76,0.11,-0.04,0.76,0.52,3.22,0.1,0.0,3.11,0.0,0.0,2.59,-0.0,0.04 
