 time, 0-real 1-robot,object type,agent to obs x(robot),agent to obs y(robot),agent to obs z(robot), distance(robot),distance(real), sus obs x(robot), sus obs y(robot),sus obs z(robot), obs x(real), obs y(real), obs z(real), robot x(real), robot y(real), robot z(real)
85.041000, 0, Obstacle 52 ,,,,,1.5,,,,1.95,-0.0,0.0,0.45,0.0,0.04 
88.640000, 1, myObstacle 52,1.18,0.1,-0.03,1.27,1.03,2.04,0.1,0.0,1.95,-0.0,0.0,0.92,0.0,0.04 
88.874000, 1, myObstacle 52,1.18,0.1,-0.03,1.18,1.0,2.06,0.1,0.0,1.95,-0.0,0.0,0.95,0.0,0.04 
89.212000, 1, myObstacle 52,1.18,0.1,-0.03,1.18,0.96,2.07,0.1,0.0,1.95,-0.0,0.0,0.99,0.0,0.04 
89.344000, 1, myObstacle 16,1.1,0.09,-0.03,1.1,6.91,2.05,0.1,0.0,7.92,0.0,0.0,1.01,0.0,0.04 
89.585000, 1, myObstacle 52,1.1,0.09,-0.04,1.11,0.91,2.06,0.1,0.0,1.95,-0.0,0.0,1.04,0.0,0.04 
89.676000, 1, myObstacle 16,1.1,0.09,-0.03,1.1,6.87,2.05,0.1,0.0,7.92,0.0,0.0,1.05,0.0,0.04 
90.057000, 1, myObstacle 52,1.05,0.1,-0.04,1.05,0.85,2.05,0.1,0.0,1.95,-0.0,0.0,1.1,0.0,0.04 
90.165000, 1, myObstacle 16,1.1,0.09,-0.03,1.1,6.8,2.05,0.1,0.0,7.92,0.0,0.0,1.12,0.0,0.04 
90.497000, 1, myObstacle 52,0.98,0.1,-0.04,1.05,0.79,2.06,0.1,0.0,1.95,-0.0,0.0,1.16,0.0,0.04 
90.815000, 1, myObstacle 52,0.98,0.1,-0.04,0.98,0.75,2.06,0.1,0.0,1.95,-0.0,0.0,1.2,0.0,0.04 
91.081000, 1, myObstacle 52,0.9,0.1,-0.04,0.91,0.72,2.06,0.1,0.0,1.95,-0.0,0.0,1.23,0.0,0.04 
91.368000, 1, myObstacle 52,0.9,0.1,-0.04,0.91,0.68,2.05,0.1,0.0,1.95,-0.0,0.0,1.27,0.0,0.04 
91.653000, 1, myObstacle 52,0.84,0.1,-0.04,0.84,0.64,2.06,0.1,0.0,1.95,-0.0,0.0,1.31,0.0,0.04 
91.920000, 1, myObstacle 52,0.77,0.1,-0.04,0.84,0.61,2.06,0.1,0.0,1.95,-0.0,0.0,1.34,0.01,0.04 
92.212000, 1, myObstacle 52,0.77,0.1,-0.04,0.78,0.57,2.05,0.1,0.0,1.95,-0.0,0.0,1.38,0.01,0.04 
92.438000, 1, myObstacle 52,0.7,0.1,-0.04,0.78,0.54,2.06,0.1,0.0,1.95,-0.0,0.0,1.41,0.01,0.04 
92.658000, 1, myObstacle 52,0.7,0.1,-0.04,0.71,0.51,2.07,0.1,0.0,1.95,-0.0,0.0,1.44,0.01,0.04 
92.918000, 1, myObstacle 52,0.7,0.1,-0.04,0.71,0.48,2.09,0.1,0.0,1.95,-0.0,0.0,1.47,0.01,0.04 
93.186000, 1, myObstacle 52,0.67,0.09,-0.04,0.67,0.44,2.09,0.1,0.0,1.95,-0.0,0.0,1.51,0.01,0.04 
93.419000, 1, myObstacle 52,0.67,0.09,-0.04,0.67,0.41,2.09,0.1,0.0,1.95,-0.0,0.0,1.54,0.01,0.04 
93.657000, 1, myObstacle 52,0.67,0.09,-0.04,0.67,0.38,2.09,0.1,0.0,1.95,-0.0,0.0,1.57,0.01,0.04 
93.961000, 1, myObstacle 52,0.67,0.09,-0.04,0.67,0.34,3.24,0.1,0.0,1.95,-0.0,0.0,1.61,0.01,0.04 
93.989000, 0, Obstacle 18 ,,,,,1.5,,,,3.11,-0.0,0.0,1.61,0.01,0.04 
97.418000, 1, myObstacle 18,1.23,0.09,-0.04,1.23,1.05,3.21,0.11,0.0,3.11,-0.0,0.0,2.06,0.01,0.04 
97.674000, 1, myObstacle 18,1.23,0.09,-0.04,1.23,1.02,3.21,0.1,0.0,3.11,-0.0,0.0,2.09,0.01,0.04 
97.863000, 1, myObstacle 18,1.23,0.09,-0.04,1.23,1.0,3.21,0.1,0.0,3.11,-0.0,0.0,2.11,0.01,0.04 
98.127000, 1, myObstacle 18,1.13,0.09,-0.04,1.14,0.96,3.21,0.1,0.0,3.11,-0.0,0.0,2.15,0.01,0.04 
98.350000, 1, myObstacle 18,1.13,0.09,-0.04,1.14,0.93,3.21,0.1,0.0,3.11,-0.0,0.0,2.18,0.01,0.04 
98.507000, 1, myObstacle 18,1.09,0.09,-0.04,1.14,0.91,3.23,0.1,0.0,3.11,-0.0,0.0,2.2,0.01,0.04 
98.718000, 1, myObstacle 18,1.09,0.09,-0.04,1.09,0.88,3.21,0.1,0.0,3.11,-0.0,0.0,2.23,0.01,0.04 
99.013000, 1, myObstacle 18,1.09,0.09,-0.04,1.09,0.85,3.22,0.1,0.0,3.11,-0.0,0.0,2.26,0.01,0.04 
99.048000, 0, Obstacle 70 ,,,,,1.5,,,,3.77,0.0,0.0,2.27,0.01,0.04 
99.259000, 1, myObstacle 18,1.0,0.09,-0.04,1.01,0.81,3.22,0.1,0.0,3.11,-0.0,0.0,2.3,0.01,0.04 
99.500000, 1, myObstacle 18,1.0,0.09,-0.04,1.01,0.78,3.22,0.1,0.0,3.11,-0.0,0.0,2.33,0.01,0.04 
