 time, 0-real 1-robot,object type,agent to obs x(robot),agent to obs y(robot),agent to obs z(robot), distance(robot),distance(real), sus obs x(robot), sus obs y(robot),sus obs z(robot), obs x(real), obs y(real), obs z(real), robot x(real), robot y(real), robot z(real)
56.362000, 0, Obstacle 16 ,,,,,1.11,,,,1.11,0.0,0.0,0.0,0.0,0.1 
75.578000, 1, myObstacle 16,1.23,0.1,-0.03,1.23,1.11,1.21,0.1,0.01,1.11,0.0,0.0,-0.0,0.0,0.04 
75.956000, 1, myObstacle 16,1.22,0.1,-0.03,1.22,1.06,1.22,0.1,0.0,1.11,0.0,0.0,0.05,0.0,0.04 
76.170000, 1, myObstacle 16,1.22,0.1,-0.03,1.22,1.04,1.22,0.1,0.0,1.11,0.0,0.0,0.08,0.0,0.04 
76.435000, 1, myObstacle 16,1.17,0.1,-0.03,1.18,1.0,1.2,0.1,0.01,1.11,0.0,0.0,0.11,0.0,0.04 
76.689000, 1, myObstacle 16,1.17,0.1,-0.03,1.18,0.97,1.2,0.1,0.01,1.11,0.0,0.0,0.14,0.0,0.04 
76.938000, 1, myObstacle 16,1.13,0.1,-0.04,1.13,0.94,1.23,0.1,0.0,1.11,0.0,0.0,0.17,0.0,0.04 
77.191000, 1, myObstacle 16,1.13,0.1,-0.04,1.13,0.9,1.23,0.1,0.0,1.11,0.0,0.0,0.21,0.0,0.04 
77.566000, 1, myObstacle 16,1.03,0.1,-0.04,1.13,0.85,1.22,0.1,0.0,1.11,0.0,0.0,0.26,0.0,0.04 
77.888000, 1, myObstacle 16,1.03,0.1,-0.04,1.04,0.81,1.22,0.1,0.0,1.11,0.0,0.0,0.3,0.0,0.04 
78.230000, 1, myObstacle 16,0.94,0.1,-0.04,1.04,0.77,1.22,0.11,0.0,1.11,0.0,0.0,0.34,0.0,0.04 
78.493000, 1, myObstacle 16,0.94,0.1,-0.04,0.95,0.73,1.22,0.11,0.0,1.11,0.0,0.0,0.38,0.0,0.04 
78.763000, 1, myObstacle 16,0.94,0.1,-0.04,0.95,0.7,1.22,0.11,0.0,1.11,0.0,0.0,0.41,0.0,0.04 
78.991000, 1, myObstacle 16,0.94,0.1,-0.04,0.95,0.67,1.22,0.11,0.0,1.11,0.0,0.0,0.44,0.0,0.04 
79.829000, 0, Obstacle 73 ,,,,,1.5,,,,2.05,0.0,0.0,0.55,0.0,0.04 
86.995000, 0, Obstacle 21 ,,,,,1.5,,,,2.98,-0.0,0.0,1.48,-0.0,0.04 
104.149000, 0, Obstacle 18 ,,,,,1.5,,,,5.21,0.0,0.0,3.71,-0.0,0.04 
105.999000, 0, Obstacle 20 ,,,,,1.5,,,,5.45,0.0,0.0,3.95,-0.0,0.04 
111.710000, 0, Obstacle 52 ,,,,,1.5,,,,6.19,-0.0,0.0,4.69,-0.01,0.04 
114.238000, 0, Obstacle 19 ,,,,,1.5,,,,6.52,0.0,0.0,5.02,-0.01,0.04 
118.377000, 1, myObstacle 20,1.15,0.11,-0.04,1.16,0.11,6.64,0.1,0.0,5.45,0.0,0.0,5.56,-0.01,0.04 
118.635000, 1, myObstacle 20,1.15,0.11,-0.04,1.16,0.15,6.64,0.1,0.0,5.45,0.0,0.0,5.59,-0.01,0.04 
118.846000, 1, myObstacle 20,1.15,0.11,-0.04,1.16,0.17,6.64,0.1,0.0,5.45,0.0,0.0,5.62,-0.01,0.04 
119.069000, 1, myObstacle 52,0.72,0.11,-0.04,0.73,0.54,6.31,0.1,0.0,6.19,-0.0,0.0,5.65,-0.01,0.04 
119.138000, 1, myObstacle 20,1.15,0.11,-0.04,1.16,0.21,6.64,0.1,0.0,5.45,0.0,0.0,5.66,-0.01,0.04 
119.436000, 1, myObstacle 52,0.69,0.11,-0.04,0.73,0.5,6.32,0.1,0.0,6.19,-0.0,0.0,5.7,-0.01,0.04 
119.674000, 1, myObstacle 52,0.69,0.11,-0.04,0.7,0.46,6.32,0.1,0.0,6.19,-0.0,0.0,5.73,-0.01,0.04 
119.873000, 1, myObstacle 52,0.69,0.11,-0.04,0.7,0.44,6.32,0.1,0.0,6.19,-0.0,0.0,5.75,-0.01,0.04 
120.129000, 1, myObstacle 52,0.69,0.11,-0.04,0.7,0.41,6.32,0.1,0.0,6.19,-0.0,0.0,5.78,-0.01,0.04 
120.300000, 1, myObstacle 52,0.69,0.11,-0.04,0.7,0.38,6.32,0.1,0.0,6.19,-0.0,0.0,5.81,-0.01,0.04 
120.398000, 0, Obstacle 70 ,,,,,1.5,,,,7.32,0.0,0.0,5.82,-0.01,0.04 
120.507000, 1, myObstacle 52,0.69,0.11,-0.04,0.7,0.36,6.32,0.1,0.0,6.19,-0.0,0.0,5.83,-0.01,0.04 
122.862000, 0, Obstacle 17 ,,,,,1.5,,,,7.64,0.0,0.0,6.14,-0.01,0.04 
124.554000, 0, Obstacle 59 ,,,,,1.5,,,,7.86,0.0,0.0,6.36,-0.01,0.04 
133.320000, 0, Target target1 ,,,,,1.5,,,,9.0,0.0,0.0,7.5,-0.01,0.04 
134.900000, 1, Target Reached1,,,,1.44,1.3,,,,9.0,0.0,0.0,7.7,-0.01,0.04 
147.811000, 0, Obstacle 52 ,,,,,1.5,,,,6.19,-0.0,0.0,7.69,-0.04,0.04 
