 time, 0-real 1-robot,object type,agent to obs x(robot),agent to obs y(robot),agent to obs z(robot), distance(robot),distance(real), sus obs x(robot), sus obs y(robot),sus obs z(robot), obs x(real), obs y(real), obs z(real), robot x(real), robot y(real), robot z(real)
56.127000, 0, Obstacle 52 ,,,,,1.25,,,,1.25,0.0,0.0,0.0,0.0,0.1 
82.160000, 0, Obstacle 19 ,,,,,1.5,,,,1.63,-0.0,0.0,0.13,0.0,0.04 
83.785000, 0, Obstacle 21 ,,,,,1.5,,,,1.84,0.0,0.0,0.34,0.0,0.04 
84.106000, 1, myObstacle 52,1.04,0.1,-0.04,1.05,0.87,1.36,0.1,0.0,1.25,-0.0,0.0,0.38,0.0,0.04 
84.377000, 1, myObstacle 52,1.04,0.1,-0.04,1.05,0.83,1.36,0.1,0.0,1.25,-0.0,0.0,0.42,0.0,0.04 
84.606000, 1, myObstacle 52,1.04,0.1,-0.04,1.05,0.8,1.36,0.1,0.0,1.25,-0.0,0.0,0.45,0.0,0.04 
84.865000, 1, myObstacle 52,1.04,0.1,-0.04,1.05,0.77,1.36,0.1,0.0,1.25,-0.0,0.0,0.48,0.0,0.04 
85.582000, 1, myObstacle 52,0.85,0.1,-0.04,0.86,0.68,1.36,0.1,0.0,1.25,-0.0,0.0,0.58,0.0,0.04 
85.886000, 1, myObstacle 52,0.85,0.1,-0.04,0.86,0.64,1.36,0.1,0.0,1.25,-0.0,0.0,0.61,0.0,0.04 
86.210000, 1, myObstacle 52,0.85,0.1,-0.04,0.86,0.59,1.36,0.1,0.0,1.25,-0.0,0.0,0.66,0.0,0.04 
86.797000, 0, Obstacle 59 ,,,,,1.5,,,,2.23,-0.0,0.0,0.73,0.0,0.04 
87.093000, 1, myObstacle 52,0.68,0.1,-0.04,0.69,0.48,1.38,0.1,0.0,1.25,-0.0,0.0,0.77,0.0,0.04 
87.441000, 1, myObstacle 52,0.68,0.1,-0.04,0.69,0.44,1.38,0.1,0.0,1.25,-0.0,0.0,0.82,0.0,0.04 
87.687000, 1, myObstacle 52,0.68,0.1,-0.04,0.69,0.4,1.38,0.1,0.0,1.25,-0.0,0.0,0.85,0.0,0.04 
87.960000, 1, myObstacle 52,0.68,0.1,-0.04,0.69,0.37,1.38,0.1,0.0,1.25,-0.0,0.0,0.88,0.0,0.04 
90.555000, 1, myObstacle 52,0.74,0.1,-0.04,0.75,0.05,1.91,0.1,0.0,1.25,-0.0,0.0,1.22,0.0,0.04 
90.751000, 1, myObstacle 52,0.74,0.1,-0.04,0.75,0.04,1.91,0.1,0.0,1.25,-0.0,0.0,1.25,0.0,0.04 
90.892000, 1, myObstacle 59,1.16,0.1,-0.04,1.17,0.96,2.34,0.1,0.0,2.23,-0.0,0.0,1.27,0.0,0.04 
91.174000, 1, myObstacle 52,0.74,0.1,-0.04,0.75,0.06,1.91,0.1,0.0,1.25,-0.0,0.0,1.3,0.0,0.04 
91.319000, 1, myObstacle 59,1.16,0.1,-0.04,1.17,0.91,2.34,0.1,0.0,2.23,-0.0,0.0,1.32,0.0,0.04 
91.620000, 1, myObstacle 59,1.16,0.1,-0.04,1.17,0.87,2.34,0.1,0.0,2.23,-0.0,0.0,1.36,0.01,0.04 
92.561000, 0, Obstacle 17 ,,,,,1.5,,,,2.98,-0.0,0.0,1.48,0.01,0.04 
93.567000, 1, myObstacle 59,0.8,0.09,-0.04,0.8,0.62,2.34,0.1,0.0,2.23,-0.0,0.0,1.61,0.01,0.04 
93.837000, 1, myObstacle 59,0.8,0.09,-0.04,0.8,0.58,2.34,0.1,0.0,2.23,-0.0,0.0,1.65,0.01,0.04 
94.072000, 1, myObstacle 59,0.8,0.09,-0.04,0.8,0.55,2.34,0.1,0.0,2.23,-0.0,0.0,1.68,0.01,0.04 
94.323000, 1, myObstacle 59,0.69,0.09,-0.04,0.8,0.52,2.35,0.1,0.0,2.23,-0.0,0.0,1.71,0.01,0.04 
94.561000, 1, myObstacle 59,0.69,0.09,-0.04,0.7,0.49,2.37,0.1,0.0,2.23,-0.0,0.0,1.74,0.01,0.04 
