 time, 0-real 1-robot,object type,agent to obs x(robot),agent to obs y(robot),agent to obs z(robot), distance(robot),distance(real), sus obs x(robot), sus obs y(robot),sus obs z(robot), obs x(real), obs y(real), obs z(real), robot x(real), robot y(real), robot z(real)
55.578000, 0, Obstacle 20 ,,,,,1.33,,,,1.33,-0.0,0.0,-0.0,0.0,0.04 
82.026000, 0, Obstacle 59 ,,,,,1.5,,,,2.28,0.0,0.0,0.78,0.0,0.04 
84.885000, 0, Obstacle 19 ,,,,,1.5,,,,2.65,0.0,0.0,1.15,0.0,0.04 
88.498000, 0, Obstacle 16 ,,,,,1.5,,,,3.12,-0.0,0.0,1.62,0.0,0.04 
93.690000, 1, myObstacle 59,0.61,0.09,-0.04,0.62,0.04,2.85,0.1,0.0,2.28,0.0,0.0,2.3,0.01,0.04 
93.971000, 1, myObstacle 59,0.61,0.09,-0.04,0.62,0.07,2.85,0.1,0.0,2.28,0.0,0.0,2.33,0.01,0.04 
94.203000, 1, myObstacle 59,0.61,0.09,-0.04,0.62,0.09,2.85,0.1,0.0,2.28,0.0,0.0,2.36,0.01,0.04 
94.418000, 1, myObstacle 59,0.61,0.09,-0.04,0.62,0.12,2.85,0.1,0.0,2.28,0.0,0.0,2.39,0.01,0.04 
94.648000, 1, myObstacle 59,0.61,0.09,-0.04,0.62,0.14,2.85,0.1,0.0,2.28,0.0,0.0,2.42,0.01,0.04 
101.498000, 0, Obstacle 17 ,,,,,1.5,,,,4.81,-0.0,0.0,3.31,0.01,0.04 
110.361000, 0, Obstacle 18 ,,,,,1.5,,,,5.96,0.0,0.0,4.46,0.01,0.04 
113.278000, 0, Obstacle 21 ,,,,,1.5,,,,6.34,0.0,0.0,4.84,0.01,0.04 
115.850000, 1, myObstacle 21,1.34,0.08,-0.04,1.35,1.17,6.46,0.1,0.0,6.34,0.0,0.0,5.17,0.02,0.04 
116.134000, 1, myObstacle 21,1.34,0.08,-0.04,1.35,1.13,6.46,0.1,0.0,6.34,0.0,0.0,5.21,0.02,0.04 
116.333000, 1, myObstacle 21,1.28,0.08,-0.04,1.29,1.1,6.46,0.1,0.0,6.34,0.0,0.0,5.24,0.02,0.04 
116.548000, 1, myObstacle 21,1.28,0.08,-0.04,1.29,1.08,6.45,0.1,0.0,6.34,0.0,0.0,5.27,0.02,0.04 
116.769000, 1, myObstacle 21,1.22,0.08,-0.04,1.29,1.05,6.46,0.1,0.0,6.34,0.0,0.0,5.29,0.02,0.04 
117.005000, 1, myObstacle 21,1.22,0.08,-0.04,1.22,1.02,6.46,0.1,0.0,6.34,0.0,0.0,5.32,0.02,0.04 
117.271000, 1, myObstacle 21,1.22,0.08,-0.04,1.22,0.98,6.45,0.1,0.0,6.34,0.0,0.0,5.36,0.02,0.04 
117.281000, 0, Obstacle 52 ,,,,,1.5,,,,6.86,-0.0,0.0,5.36,0.02,0.04 
117.500000, 1, myObstacle 21,1.22,0.08,-0.04,1.22,0.95,6.44,0.1,0.0,6.34,0.0,0.0,5.39,0.02,0.04 
117.717000, 1, myObstacle 21,1.1,0.08,-0.03,1.11,0.92,6.44,0.1,0.0,6.34,0.0,0.0,5.42,0.02,0.04 
117.994000, 1, myObstacle 21,1.1,0.08,-0.03,1.11,0.89,6.45,0.1,0.0,6.34,0.0,0.0,5.45,0.02,0.04 
118.204000, 1, myObstacle 21,1.04,0.08,-0.04,1.04,0.86,6.45,0.1,0.0,6.34,0.0,0.0,5.48,0.02,0.04 
118.541000, 1, myObstacle 21,0.98,0.08,-0.04,1.04,0.82,6.45,0.1,0.0,6.34,0.0,0.0,5.52,0.02,0.04 
118.813000, 1, myObstacle 21,0.98,0.08,-0.04,0.99,0.78,6.45,0.1,0.0,6.34,0.0,0.0,5.56,0.02,0.04 
118.992000, 1, myObstacle 16,0.92,0.08,-0.04,0.93,2.46,6.46,0.1,0.0,3.12,-0.0,0.0,5.58,0.02,0.04 
119.104000, 1, myObstacle 21,0.91,0.08,-0.04,0.99,0.74,6.45,0.1,0.0,6.34,0.0,0.0,5.6,0.02,0.04 
119.363000, 1, myObstacle 16,0.92,0.08,-0.04,0.93,2.51,6.46,0.1,0.0,3.12,-0.0,0.0,5.63,0.02,0.04 
119.456000, 1, myObstacle 21,0.91,0.08,-0.04,0.91,0.7,6.45,0.1,0.0,6.34,0.0,0.0,5.64,0.02,0.04 
119.638000, 1, myObstacle 16,0.84,0.08,-0.04,0.93,2.55,6.45,0.1,0.0,3.12,-0.0,0.0,5.67,0.02,0.04 
119.694000, 1, myObstacle 21,0.91,0.08,-0.04,0.91,0.67,6.45,0.1,0.0,6.34,0.0,0.0,5.67,0.02,0.04 
119.851000, 1, myObstacle 16,0.84,0.08,-0.04,0.85,2.57,6.45,0.1,0.0,3.12,-0.0,0.0,5.69,0.02,0.04 
120.092000, 1, myObstacle 16,0.84,0.08,-0.04,0.85,2.6,6.45,0.1,0.0,3.12,-0.0,0.0,5.72,0.02,0.04 
120.354000, 1, myObstacle 16,0.84,0.08,-0.04,0.85,2.64,6.45,0.1,0.0,3.12,-0.0,0.0,5.76,0.02,0.04 
120.616000, 1, myObstacle 16,0.84,0.08,-0.04,0.85,2.67,6.45,0.1,0.0,3.12,-0.0,0.0,5.79,0.02,0.04 
125.134000, 0, Obstacle 70 ,,,,,1.5,,,,7.88,-0.0,0.0,6.38,0.02,0.04 
126.220000, 1, myObstacle 52,0.62,0.08,-0.04,0.62,0.34,7.06,0.1,0.0,6.86,-0.0,0.0,6.52,0.02,0.04 
126.450000, 1, myObstacle 52,0.62,0.08,-0.04,0.62,0.31,7.06,0.1,0.0,6.86,-0.0,0.0,6.55,0.02,0.04 
126.695000, 1, myObstacle 52,0.62,0.08,-0.04,0.62,0.28,7.06,0.1,0.0,6.86,-0.0,0.0,6.58,0.02,0.04 
126.886000, 1, myObstacle 52,0.62,0.08,-0.04,0.62,0.26,7.06,0.1,0.0,6.86,-0.0,0.0,6.61,0.02,0.04 
127.096000, 1, myObstacle 52,0.62,0.08,-0.04,0.62,0.23,7.06,0.1,0.0,6.86,-0.0,0.0,6.63,0.02,0.04 
137.448000, 0, Obstacle 73 ,,,,,1.5,,,,9.48,-0.0,0.0,7.98,0.03,0.04 
151.461000, 0, Target target1 ,,,,,2.2,,,,12.0,0.0,0.0,9.8,0.04,0.04 
153.957000, 1, Target Reached1,,,,1.93,1.88,,,,12.0,0.0,0.0,10.13,0.04,0.04 
