 time, 0-real 1-robot,object type,agent to obs x(robot),agent to obs y(robot),agent to obs z(robot), distance(robot),distance(real), sus obs x(robot), sus obs y(robot),sus obs z(robot), obs x(real), obs y(real), obs z(real), robot x(real), robot y(real), robot z(real)
82.632000, 0, Obstacle 59 ,,,,,1.5,,,,2.43,0.0,0.0,0.93,0.0,0.04 
84.151000, 1, myObstacle 59,1.48,0.09,-0.03,1.49,1.3,2.54,0.1,0.0,2.43,0.0,0.0,1.13,0.0,0.04 
84.393000, 1, myObstacle 52,1.48,0.09,-0.03,1.48,3.87,2.56,0.1,0.0,5.03,0.0,0.0,1.16,0.0,0.04 
84.502000, 1, myObstacle 59,1.42,0.1,-0.03,1.49,1.26,2.54,0.1,0.0,2.43,0.0,0.0,1.17,0.0,0.04 
84.760000, 1, myObstacle 52,1.48,0.09,-0.03,1.48,3.82,2.56,0.1,0.0,5.03,0.0,0.0,1.21,0.0,0.04 
84.850000, 1, myObstacle 59,1.42,0.1,-0.03,1.43,1.21,2.55,0.1,0.0,2.43,0.0,0.0,1.22,0.0,0.04 
85.112000, 1, myObstacle 52,1.37,0.1,-0.04,1.48,3.78,2.58,0.11,0.0,5.03,0.0,0.0,1.25,0.0,0.04 
85.195000, 1, myObstacle 59,1.37,0.09,-0.04,1.37,1.17,2.55,0.1,0.0,2.43,0.0,0.0,1.26,0.0,0.04 
85.439000, 1, myObstacle 52,1.37,0.1,-0.04,1.37,3.74,2.56,0.1,0.0,5.03,0.0,0.0,1.29,0.0,0.04 
85.531000, 1, myObstacle 59,1.29,0.1,-0.04,1.37,1.12,2.56,0.1,0.0,2.43,0.0,0.0,1.31,0.0,0.04 
85.835000, 1, myObstacle 52,1.37,0.1,-0.04,1.37,3.69,2.56,0.1,0.0,5.03,0.0,0.0,1.34,0.0,0.04 
85.927000, 1, myObstacle 59,1.29,0.1,-0.04,1.3,1.07,2.53,0.1,0.0,2.43,0.0,0.0,1.36,0.0,0.04 
86.205000, 1, myObstacle 52,1.37,0.1,-0.04,1.37,3.64,2.56,0.1,0.0,5.03,0.0,0.0,1.39,0.0,0.04 
86.295000, 1, myObstacle 59,1.19,0.1,-0.03,1.2,1.02,2.53,0.1,0.0,2.43,0.0,0.0,1.41,0.0,0.04 
86.543000, 1, myObstacle 59,1.19,0.1,-0.03,1.2,0.99,2.55,0.1,0.0,2.43,0.0,0.0,1.44,0.0,0.04 
86.795000, 1, myObstacle 59,1.15,0.1,-0.04,1.16,0.96,2.56,0.1,0.0,2.43,0.0,0.0,1.47,0.0,0.04 
87.023000, 1, myObstacle 59,1.15,0.1,-0.04,1.16,0.93,2.56,0.11,0.0,2.43,0.0,0.0,1.5,0.0,0.04 
87.256000, 1, myObstacle 59,1.08,0.1,-0.04,1.09,0.9,2.55,0.11,0.0,2.43,0.0,0.0,1.53,0.0,0.04 
87.508000, 1, myObstacle 59,1.03,0.1,-0.04,1.09,0.87,2.55,0.1,0.0,2.43,0.0,0.0,1.56,0.0,0.04 
87.695000, 1, myObstacle 59,1.03,0.1,-0.04,1.03,0.84,2.54,0.1,0.0,2.43,0.0,0.0,1.59,0.0,0.04 
87.923000, 1, myObstacle 59,0.97,0.1,-0.04,1.03,0.81,2.54,0.1,0.0,2.43,0.0,0.0,1.62,0.0,0.04 
88.211000, 1, myObstacle 59,0.97,0.1,-0.04,0.97,0.78,2.54,0.1,0.0,2.43,0.0,0.0,1.66,0.0,0.04 
88.504000, 1, myObstacle 59,0.92,0.1,-0.04,0.93,0.74,2.54,0.1,0.0,2.43,0.0,0.0,1.69,0.0,0.04 
88.811000, 1, myObstacle 59,0.92,0.1,-0.04,0.93,0.7,2.54,0.1,0.0,2.43,0.0,0.0,1.73,0.0,0.04 
89.022000, 1, myObstacle 59,0.85,0.1,-0.04,0.86,0.67,2.54,0.11,0.0,2.43,0.0,0.0,1.76,0.0,0.04 
89.277000, 1, myObstacle 59,0.8,0.1,-0.04,0.86,0.64,2.54,0.11,0.0,2.43,0.0,0.0,1.79,0.0,0.04 
89.488000, 1, myObstacle 59,0.8,0.1,-0.04,0.8,0.61,2.53,0.1,0.0,2.43,0.0,0.0,1.82,0.0,0.04 
89.745000, 1, myObstacle 59,0.73,0.1,-0.04,0.8,0.58,2.54,0.1,0.0,2.43,0.0,0.0,1.85,0.0,0.04 
89.965000, 1, myObstacle 59,0.73,0.1,-0.04,0.74,0.55,2.55,0.1,0.0,2.43,0.0,0.0,1.88,0.0,0.04 
90.169000, 1, myObstacle 59,0.73,0.1,-0.04,0.74,0.52,2.56,0.1,0.0,2.43,0.0,0.0,1.91,0.0,0.04 
90.404000, 1, myObstacle 59,0.69,0.1,-0.04,0.7,0.49,2.56,0.1,0.0,2.43,0.0,0.0,1.94,0.0,0.04 
90.655000, 1, myObstacle 59,0.69,0.1,-0.04,0.7,0.46,2.56,0.1,0.0,2.43,0.0,0.0,1.97,0.0,0.04 
90.918000, 1, myObstacle 59,0.69,0.1,-0.04,0.7,0.43,2.56,0.1,0.0,2.43,0.0,0.0,2.01,0.01,0.04 
91.151000, 1, myObstacle 59,0.69,0.1,-0.04,0.7,0.4,2.56,0.1,0.0,2.43,0.0,0.0,2.04,0.01,0.04 
102.643000, 0, Obstacle 52 ,,,,,1.5,,,,5.03,0.0,0.0,3.53,0.01,0.04 
104.199000, 1, myObstacle 52,1.46,0.09,-0.03,1.46,1.3,5.13,0.1,0.0,5.03,0.0,0.0,3.73,0.01,0.04 
104.361000, 1, myObstacle 52,1.46,0.09,-0.03,1.46,1.28,5.13,0.1,0.0,5.03,0.0,0.0,3.75,0.01,0.04 
104.580000, 1, myObstacle 52,1.46,0.09,-0.03,1.46,1.25,5.13,0.1,0.0,5.03,0.0,0.0,3.78,0.01,0.04 
104.841000, 1, myObstacle 52,1.4,0.09,-0.04,1.41,1.21,5.15,0.11,0.0,5.03,0.0,0.0,3.82,0.01,0.04 
105.046000, 1, myObstacle 52,1.4,0.09,-0.04,1.41,1.19,5.13,0.1,0.0,5.03,0.0,0.0,3.84,0.01,0.04 
105.251000, 1, myObstacle 52,1.4,0.09,-0.04,1.41,1.16,5.14,0.1,0.0,5.03,0.0,0.0,3.87,0.01,0.04 
105.486000, 1, myObstacle 52,1.32,0.09,-0.04,1.32,1.13,5.15,0.1,0.0,5.03,0.0,0.0,3.9,0.01,0.04 
105.672000, 1, myObstacle 52,1.32,0.09,-0.04,1.32,1.11,5.13,0.1,0.0,5.03,0.0,0.0,3.92,0.01,0.04 
105.930000, 1, myObstacle 52,1.24,0.09,-0.04,1.24,1.07,5.14,0.1,0.0,5.03,0.0,0.0,3.96,0.01,0.04 
106.197000, 1, myObstacle 52,1.24,0.09,-0.04,1.24,1.04,5.13,0.1,0.0,5.03,0.0,0.0,3.99,0.01,0.04 
106.477000, 1, myObstacle 52,1.19,0.09,-0.04,1.24,1.0,5.15,0.1,0.0,5.03,0.0,0.0,4.03,0.01,0.04 
106.660000, 1, myObstacle 52,1.19,0.09,-0.04,1.2,0.98,5.13,0.1,0.0,5.03,0.0,0.0,4.05,0.01,0.04 
