 time, 0-real 1-robot,object type,agent to obs x(robot),agent to obs y(robot),agent to obs z(robot), distance(robot),distance(real), sus obs x(robot), sus obs y(robot),sus obs z(robot), obs x(real), obs y(real), obs z(real), robot x(real), robot y(real), robot z(real)
79.796000, 0, Obstacle 70 ,,,,,1.5,,,,2.06,0.0,0.0,0.56,0.0,0.04 
83.500000, 1, myObstacle 70,1.17,0.12,-0.03,1.18,1.02,2.17,0.11,0.0,2.06,0.0,0.0,1.04,-0.0,0.04 
83.555000, 1, myObstacle 70,1.17,0.12,-0.03,1.18,1.01,2.17,0.11,0.0,2.06,0.0,0.0,1.05,-0.0,0.04 
83.686000, 1, myObstacle 70,1.17,0.12,-0.03,1.18,0.99,2.17,0.11,0.0,2.06,0.0,0.0,1.07,-0.0,0.04 
83.758000, 1, myObstacle 70,1.17,0.12,-0.03,1.18,0.98,2.18,0.1,0.0,2.06,0.0,0.0,1.08,-0.0,0.04 
83.814000, 1, myObstacle 70,1.17,0.12,-0.03,1.18,0.98,2.18,0.1,0.0,2.06,0.0,0.0,1.08,-0.0,0.04 
83.891000, 1, myObstacle 70,1.17,0.12,-0.03,1.18,0.97,2.18,0.1,0.0,2.06,0.0,0.0,1.1,-0.0,0.04 
83.961000, 1, myObstacle 70,1.17,0.12,-0.03,1.18,0.96,2.14,0.1,0.01,2.06,0.0,0.0,1.1,-0.0,0.04 
84.030000, 1, myObstacle 70,1.08,0.12,-0.03,1.09,0.95,2.14,0.1,0.01,2.06,0.0,0.0,1.11,-0.0,0.04 
84.089000, 0, Obstacle 21 ,,,,,1.5,,,,2.62,0.0,0.0,1.12,-0.0,0.04 
84.091000, 1, myObstacle 70,1.08,0.12,-0.03,1.09,0.94,2.14,0.1,0.01,2.06,0.0,0.0,1.12,-0.0,0.04 
84.250000, 1, myObstacle 70,1.08,0.12,-0.03,1.09,0.92,2.14,0.1,0.01,2.06,0.0,0.0,1.14,-0.0,0.04 
84.306000, 1, myObstacle 70,1.08,0.12,-0.03,1.09,0.91,2.14,0.1,0.01,2.06,0.0,0.0,1.15,-0.0,0.04 
84.362000, 1, myObstacle 70,1.08,0.12,-0.03,1.09,0.9,2.14,0.1,0.01,2.06,0.0,0.0,1.16,-0.0,0.04 
84.393000, 1, myObstacle 70,1.08,0.12,-0.03,1.09,0.9,2.14,0.1,0.01,2.06,0.0,0.0,1.16,-0.0,0.04 
84.447000, 1, myObstacle 70,1.08,0.12,-0.03,1.09,0.89,2.14,0.1,0.01,2.06,0.0,0.0,1.17,-0.0,0.04 
84.505000, 1, myObstacle 70,1.08,0.12,-0.03,1.09,0.89,2.14,0.1,0.01,2.06,0.0,0.0,1.17,-0.0,0.04 
84.562000, 1, myObstacle 70,1.08,0.12,-0.03,1.09,0.88,2.14,0.1,0.01,2.06,0.0,0.0,1.18,-0.0,0.04 
84.624000, 1, myObstacle 70,1.08,0.12,-0.03,1.09,0.87,2.14,0.1,0.01,2.06,0.0,0.0,1.19,-0.0,0.04 
84.804000, 1, myObstacle 70,1.0,0.12,-0.04,1.09,0.85,2.17,0.1,0.0,2.06,0.0,0.0,1.21,-0.01,0.04 
84.859000, 1, myObstacle 70,1.0,0.12,-0.04,1.01,0.84,2.17,0.1,0.0,2.06,0.0,0.0,1.22,-0.01,0.04 
84.931000, 1, myObstacle 70,1.0,0.12,-0.04,1.01,0.83,2.17,0.1,0.0,2.06,0.0,0.0,1.23,-0.01,0.04 
84.983000, 1, myObstacle 70,1.0,0.12,-0.04,1.01,0.83,2.17,0.1,0.0,2.06,0.0,0.0,1.24,-0.01,0.04 
85.064000, 1, myObstacle 70,1.0,0.12,-0.04,1.01,0.81,2.17,0.1,0.0,2.06,0.0,0.0,1.25,-0.01,0.04 
85.169000, 1, myObstacle 70,1.0,0.12,-0.04,1.01,0.8,2.17,0.1,0.0,2.06,0.0,0.0,1.26,-0.01,0.04 
85.328000, 1, myObstacle 70,1.0,0.12,-0.04,1.01,0.78,2.17,0.1,0.0,2.06,0.0,0.0,1.28,-0.01,0.04 
85.405000, 1, myObstacle 70,1.0,0.12,-0.04,1.01,0.77,2.17,0.1,0.0,2.06,0.0,0.0,1.29,-0.01,0.04 
85.469000, 1, myObstacle 70,1.0,0.12,-0.04,1.01,0.76,2.17,0.1,0.0,2.06,0.0,0.0,1.3,-0.01,0.04 
85.545000, 1, myObstacle 70,1.0,0.12,-0.04,1.01,0.75,2.17,0.1,0.0,2.06,0.0,0.0,1.31,-0.01,0.04 
85.633000, 1, myObstacle 70,0.91,0.13,-0.04,1.01,0.74,2.18,0.11,0.0,2.06,0.0,0.0,1.32,-0.01,0.04 
85.680000, 1, myObstacle 70,0.91,0.13,-0.04,0.92,0.73,2.18,0.11,0.0,2.06,0.0,0.0,1.33,-0.01,0.04 
85.788000, 1, myObstacle 70,0.91,0.13,-0.04,0.92,0.72,2.18,0.11,0.0,2.06,0.0,0.0,1.34,-0.01,0.04 
85.851000, 1, myObstacle 70,0.91,0.13,-0.04,0.92,0.71,2.18,0.11,0.0,2.06,0.0,0.0,1.35,-0.01,0.04 
85.889000, 1, myObstacle 70,0.91,0.13,-0.04,0.92,0.71,2.18,0.11,0.0,2.06,0.0,0.0,1.35,-0.01,0.04 
85.950000, 1, myObstacle 70,0.91,0.13,-0.04,0.92,0.7,2.18,0.11,0.0,2.06,0.0,0.0,1.36,-0.01,0.04 
86.015000, 1, myObstacle 70,0.91,0.13,-0.04,0.92,0.69,2.18,0.11,0.0,2.06,0.0,0.0,1.37,-0.01,0.04 
86.073000, 1, myObstacle 70,0.83,0.13,-0.04,0.92,0.68,2.17,0.11,0.0,2.06,0.0,0.0,1.38,-0.01,0.04 
86.126000, 1, myObstacle 70,0.83,0.13,-0.04,0.84,0.68,2.17,0.11,0.0,2.06,0.0,0.0,1.38,-0.01,0.04 
86.193000, 1, myObstacle 70,0.83,0.13,-0.04,0.84,0.67,2.16,0.1,0.0,2.06,0.0,0.0,1.39,-0.01,0.04 
86.354000, 1, myObstacle 70,0.83,0.13,-0.04,0.84,0.65,2.16,0.1,0.0,2.06,0.0,0.0,1.42,-0.01,0.04 
86.414000, 1, myObstacle 70,0.83,0.13,-0.04,0.84,0.64,2.16,0.1,0.0,2.06,0.0,0.0,1.42,-0.01,0.04 
86.479000, 1, myObstacle 70,0.83,0.13,-0.04,0.84,0.63,2.16,0.1,0.0,2.06,0.0,0.0,1.43,-0.01,0.04 
86.546000, 1, myObstacle 70,0.83,0.13,-0.04,0.84,0.62,2.16,0.1,0.0,2.06,0.0,0.0,1.44,-0.01,0.04 
86.646000, 1, myObstacle 70,0.77,0.12,-0.04,0.78,0.61,2.16,0.1,0.0,2.06,0.0,0.0,1.45,-0.01,0.04 
86.723000, 1, myObstacle 70,0.77,0.12,-0.04,0.78,0.6,2.16,0.1,0.0,2.06,0.0,0.0,1.46,-0.01,0.04 
86.907000, 1, myObstacle 70,0.77,0.12,-0.04,0.78,0.58,2.17,0.11,0.0,2.06,0.0,0.0,1.49,-0.01,0.04 
87.018000, 1, myObstacle 70,0.77,0.12,-0.04,0.78,0.56,2.17,0.11,0.0,2.06,0.0,0.0,1.5,-0.01,0.04 
87.091000, 1, myObstacle 70,0.72,0.13,-0.04,0.73,0.55,2.17,0.11,0.0,2.06,0.0,0.0,1.51,-0.01,0.04 
87.149000, 1, myObstacle 70,0.72,0.13,-0.04,0.73,0.54,2.18,0.11,0.0,2.06,0.0,0.0,1.52,-0.01,0.04 
87.242000, 1, myObstacle 70,0.72,0.13,-0.04,0.73,0.53,2.18,0.11,0.0,2.06,0.0,0.0,1.53,-0.01,0.04 
87.392000, 1, myObstacle 70,0.72,0.13,-0.04,0.73,0.51,2.18,0.11,0.0,2.06,0.0,0.0,1.55,-0.01,0.04 
87.443000, 1, myObstacle 70,0.72,0.13,-0.04,0.73,0.5,2.18,0.11,0.0,2.06,0.0,0.0,1.56,-0.01,0.04 
87.548000, 1, myObstacle 70,0.72,0.13,-0.04,0.73,0.49,2.18,0.11,0.0,2.06,0.0,0.0,1.57,-0.01,0.04 
87.677000, 1, myObstacle 70,0.72,0.13,-0.04,0.73,0.48,2.18,0.11,0.0,2.06,0.0,0.0,1.59,-0.01,0.04 
87.768000, 1, myObstacle 70,0.72,0.13,-0.04,0.73,0.46,2.18,0.11,0.0,2.06,0.0,0.0,1.6,-0.01,0.04 
87.933000, 1, myObstacle 52,0.67,0.13,-0.04,0.68,5.23,2.23,0.1,0.0,6.85,0.0,0.0,1.62,-0.01,0.04 
88.011000, 1, myObstacle 70,0.72,0.13,-0.04,0.73,0.43,2.18,0.11,0.0,2.06,0.0,0.0,1.63,-0.01,0.04 
88.078000, 1, myObstacle 52,0.67,0.13,-0.04,0.68,5.21,2.23,0.1,0.0,6.85,0.0,0.0,1.64,-0.01,0.04 
88.178000, 1, myObstacle 52,0.67,0.13,-0.04,0.68,5.2,2.23,0.1,0.0,6.85,0.0,0.0,1.65,-0.01,0.04 
88.242000, 1, myObstacle 52,0.67,0.13,-0.04,0.68,5.19,2.23,0.1,0.0,6.85,0.0,0.0,1.66,-0.01,0.04 
88.302000, 1, myObstacle 52,0.67,0.13,-0.04,0.68,5.18,2.23,0.1,0.0,6.85,0.0,0.0,1.67,-0.01,0.04 
88.430000, 1, myObstacle 52,0.67,0.13,-0.04,0.68,5.17,2.23,0.1,0.0,6.85,0.0,0.0,1.68,-0.01,0.04 
88.477000, 1, myObstacle 52,0.67,0.13,-0.04,0.68,5.16,2.23,0.1,0.0,6.85,0.0,0.0,1.69,-0.01,0.04 
88.530000, 1, myObstacle 52,0.67,0.13,-0.04,0.68,5.15,2.23,0.1,0.0,6.85,0.0,0.0,1.7,-0.01,0.04 
88.599000, 1, myObstacle 52,0.67,0.13,-0.04,0.68,5.14,2.23,0.1,0.0,6.85,0.0,0.0,1.71,-0.01,0.04 
88.658000, 1, myObstacle 52,0.67,0.13,-0.04,0.68,5.14,2.23,0.1,0.0,6.85,0.0,0.0,1.71,-0.01,0.04 
88.753000, 1, myObstacle 52,0.67,0.13,-0.04,0.68,5.12,2.23,0.1,0.0,6.85,0.0,0.0,1.73,-0.01,0.04 
88.930000, 0, Obstacle 59 ,,,,,1.5,,,,3.25,-0.0,0.0,1.75,-0.01,0.04 
89.150000, 1, myObstacle 21,1.0,0.14,-0.04,1.01,0.84,2.72,0.1,0.01,2.62,0.0,0.0,1.78,-0.01,0.04 
89.230000, 1, myObstacle 21,1.0,0.14,-0.04,1.01,0.83,2.72,0.1,0.01,2.62,0.0,0.0,1.79,-0.01,0.04 
89.316000, 1, myObstacle 21,1.0,0.14,-0.04,1.01,0.82,2.73,0.1,0.0,2.62,0.0,0.0,1.8,-0.01,0.04 
89.489000, 1, myObstacle 21,1.0,0.14,-0.04,1.01,0.8,2.73,0.1,0.0,2.62,0.0,0.0,1.82,-0.02,0.04 
89.554000, 1, myObstacle 21,1.0,0.14,-0.04,1.01,0.79,2.73,0.1,0.0,2.62,0.0,0.0,1.83,-0.02,0.04 
89.602000, 1, myObstacle 21,1.0,0.14,-0.04,1.01,0.78,2.73,0.1,0.0,2.62,0.0,0.0,1.84,-0.02,0.04 
89.658000, 1, myObstacle 21,1.0,0.14,-0.04,1.01,0.78,2.73,0.1,0.0,2.62,0.0,0.0,1.84,-0.02,0.04 
89.724000, 1, myObstacle 21,1.0,0.14,-0.04,1.01,0.77,2.73,0.1,0.0,2.62,0.0,0.0,1.85,-0.02,0.04 
89.803000, 1, myObstacle 21,0.91,0.14,-0.04,1.01,0.76,2.73,0.1,0.0,2.62,0.0,0.0,1.86,-0.02,0.04 
89.864000, 1, myObstacle 21,0.91,0.14,-0.04,0.92,0.75,2.73,0.1,0.0,2.62,0.0,0.0,1.87,-0.02,0.04 
90.083000, 1, myObstacle 21,0.91,0.14,-0.04,0.92,0.72,2.73,0.1,0.0,2.62,0.0,0.0,1.9,-0.02,0.04 
90.161000, 1, myObstacle 21,0.91,0.14,-0.04,0.92,0.71,2.73,0.1,0.0,2.62,0.0,0.0,1.91,-0.02,0.04 
90.232000, 1, myObstacle 21,0.91,0.14,-0.04,0.92,0.7,2.73,0.1,0.0,2.62,0.0,0.0,1.92,-0.02,0.04 
90.282000, 1, myObstacle 21,0.91,0.14,-0.04,0.92,0.7,2.73,0.1,0.0,2.62,0.0,0.0,1.92,-0.02,0.04 
90.352000, 1, myObstacle 21,0.91,0.14,-0.04,0.92,0.69,2.73,0.11,0.0,2.62,0.0,0.0,1.93,-0.02,0.04 
90.400000, 1, myObstacle 21,0.85,0.14,-0.04,0.86,0.68,2.73,0.11,0.0,2.62,0.0,0.0,1.94,-0.02,0.04 
90.562000, 1, myObstacle 21,0.85,0.14,-0.04,0.86,0.66,2.73,0.1,0.0,2.62,0.0,0.0,1.96,-0.02,0.04 
90.623000, 1, myObstacle 21,0.85,0.14,-0.04,0.86,0.65,2.73,0.1,0.0,2.62,0.0,0.0,1.97,-0.02,0.04 
90.703000, 1, myObstacle 21,0.85,0.14,-0.04,0.86,0.64,2.73,0.1,0.0,2.62,0.0,0.0,1.98,-0.02,0.04 
90.764000, 1, myObstacle 21,0.85,0.14,-0.04,0.86,0.63,2.73,0.1,0.0,2.62,0.0,0.0,1.99,-0.02,0.04 
90.833000, 1, myObstacle 21,0.85,0.14,-0.04,0.86,0.63,2.73,0.1,0.0,2.62,0.0,0.0,2.0,-0.02,0.04 
